COSS Company,FOSS Core(s),Sector / Space,Round,Size (M),Month Announced,Year,Lead VC,Link
Redis Labs,Redis,,F,$100.0,August,2020,"Bain Capital, TVC",https://redislabs.com/press/redis-labs-raises-100-million-series-f-financing/
Snyk,Snyk,,F,$300.0,September,2021,"Sands Capital Ventures, Tiger Global",https://www.reuters.com/technology/cyber-security-software-startup-snyk-raises-300-mln-valued-85-bln-2021-09-09/
Plume,OpenSync,,F,$300.0,October,2021,Softbank,https://www.plume.com/resources/plume-raises-300-million-from-softbank/
Cockroach Labs,CockroachDB,,F,$278.0,December,2021,Greenoaks,https://www.cockroachlabs.com/blog/series-f-announcement-vision/
SiFive,RISC-V,,F,$175.0,March,2022,Coatue,https://www.theregister.com/2022/03/16/sifive_175m_series_f/
CloudBees,Jenkins,,F,$150.0,December,2021,Goldman Sachs Asset Management,https://www.cloudbees.com/blog/a-message-from-our-founder-the-journey-to-usd1-billion?utm_campaign=Organic-News%3A+Funding+Series+F&utm_medium=social&utm_source=twitter
Neo4J,,,F,$66.0,November,2021,Inovia,https://neo4j.com/press-releases/Patrick-Pichette-joins-Neo4j-Board-of-Directors/?ref=newsroom
Confluent ,Apache Kafka,,E,$250.0,April,2020,Coatue,https://www.confluent.io/press-release/confluent-series-e-round-project-metamorphosis/
Cockroach Labs,Cockroach DB,,E,$160.0,January,2021,Altimeter,https://www.reuters.com/article/cockroach-labs-funding/database-software-startup-cockroach-labs-raises-160-mln-idUSL1N2JM2RB
H2O.ai,H2O.ai Hybrid Cloud,,E,$100.0,November,2021,Commonwealth Bank of Australia,https://venturebeat.com/2021/11/07/h2o-ai-secures-100m-lands-partnership-with-australian-bank/
ForgeRock,"OpenAM, OpenIDM, OpenDJ, OpenIG",,E,$93.5,April,2020,Riverwood Capital,https://www.forgerock.com/about-us/press-releases/forgerock-surpasses-100m-arr-raises-935-million-fuel-next-wave-growth-cloud
Plume,OpenSync,,E,$270.0,February,2021,Insight Partners,https://www.insightpartners.com/about-us/news-press/plume-raises-270-million-at-1-35-billion-valuation/
Sifive,RISC-V,,E,$61.0,August,2020,SK Hynix ,https://www.sifive.com/press/sifive-secures-61-million-in-series-e-funding
Aqua Security,Several,,E,$135.0,March,2021,ION Crossover,https://www.prnewswire.com/news-releases/aqua-security-announces-135-million-in-series-e-funding-at-a-1-billion-valuation-301243855.html
Sysdig,sysdig,,E,$70.0,January,2020,Insight Partners,https://sysdig.com/press-releases/sysdig-closes-70m-series-e-funding/
HashiCorp,"Terraform, Vault, Consul, Nomad",,E,$175.0,March,2020,Franklin Templeton,http://www.globenewswire.com/news-release/2020/03/16/2001541/0/en/HashiCorp-Raises-175-Million-in-Series-E-Funding-to-Support-Multi-Cloud-Transformation-for-Global-Enterprises.html
Pantheon,Wordpress,,E,$100.0,July,2021,Softbank,https://pantheon.io/blog/what-100M-investment-means-for-Pantheon
Dremio,Apache Arrow,,E,$160.0,January,2022,Adams Street Partners,https://www.dremio.com/press-releases/dremio-doubles-valuation-to-2-billion-with-160m-investment-towards-reinventing-sql-for-data-lakes/
Dremio,Apache Arrow,,D,$135.0,January,2021,Sapphire Ventures,https://www.dremio.com/press-releases/dremio-closes-70-million-in-growth-funding/
Apollo,Apollo Client,,D,$130.0,August,2021,Insight Partners,https://twitter.com/apollographql/status/1427616423824797698?s=20
Cockroach Labs,Cockroach DB,,D,$86.6,May,2020,Altimeter and Bond,https://www.cockroachlabs.com/blog/cockroach-labs-raises-87-million-of-new-investment-capping-a-year-of-exceptional-growth/
Corelight,Corelight,,D,$75.0,September,2021,Energy Impact Partners,https://corelight.com/company/corelight-secures-75-million-series-d-funding
Digital Asset,DAML,,D,$120.0,April,2021,7RIDGE,https://daml.com/blog/company/we-have-raised-120m-to-tackle-the-heart-of-the-problem/
Platform9,K8s,,D,$37.5,February,2021,WRVI,https://www.ngpcap.com/news/platform9-raises-37-5-million-reports-145-yoy-growth-in-saas-managed-kubernetes
Kong,Kong,,D,$100.0,February,2021,Tiger Global,https://www.bloomberg.com/news/articles/2021-02-08/kong-secures-1-4-billion-valuation-to-build-connection-for-apps
Kyligence,Kylin,,D,$70.0,April,2021,SPDB,https://martechseries.com/analytics/kyligence-raises-70-million-series-d-funding-round/
Plume Design,OpenSync,,D,$85.0,February,2020,Charter,https://www.mannpublications.com/mannreport/2020/03/12/plume-secures-85m-in-financing/
Postman,Postman,,D,$225.0,August,2021,Insight Partners,https://blog.postman.com/postman-announces-series-d/
Lightbend,Scala,,D,$25.0,March,2020,Dell Tech,https://www.lightbend.com/company/news/lightbend-raises-25m-for-deployment-of-new-cloud-native-applications
Sentry,Sentry,,D,$60.0,February,2021,Accel,https://www.businesswire.com/news/home/20210218005662/en/Sentry-Raises-60-Million-in-Series-D-Funding-at-1-Billion-Valuation
Sourcegraph,Sourcegraph,,D,$125.0,July,2021,a16z,https://techcrunch.com/2021/07/13/sourcegraph-raises-125m-series-d-on-2-6b-valuation-for-universal-code-search-tool/
Sysdig,Sysdig,,D,$188.0,April,2021,Premji Invest,https://sysdig.com/press-releases/sysdig-raises-188m-at-a-valuation-of-1-19b-to-secure-modern-cloud-applications/
PingCAP,TiDB,,D,$270.0,November ,2020,GGV,https://pingcap.com/blog/pingcap-the-company-behind-tidb-raises-$270-million-in-series-d-funding
ConsenSys,Ethereum,,D,$450.0,March,2022,ParaFi Capital,https://consensys.net/blog/press-release/consensys-raises-450m-series-d-funding/
Starburst,Trino (formerly PrestoSQL),,D,$250.0,February,2022,Alkeon Capital,https://blog.starburst.io/starburst-announces-250m-series-d
Grafana Labs,Grafana,,D,$240.0,April,2022,GIC,https://grafana.com/blog/2022/04/06/grafana-labs-series-d/?utm_source=tw&utm_medium=social
